LAB_L,LAB_A,LAB_B,SPECTRAL_NM380,SPECTRAL_NM390,SPECTRAL_NM400,SPECTRAL_NM410,SPECTRAL_NM420,SPECTRAL_NM430,SPECTRAL_NM440,SPECTRAL_NM450,SPECTRAL_NM460,SPECTRAL_NM470,SPECTRAL_NM480,SPECTRAL_NM490,SPECTRAL_NM500,SPECTRAL_NM510,SPECTRAL_NM520,SPECTRAL_NM530,SPECTRAL_NM540,SPECTRAL_NM550,SPECTRAL_NM560,SPECTRAL_NM570,SPECTRAL_NM580,SPECTRAL_NM590,SPECTRAL_NM600,SPECTRAL_NM610,SPECTRAL_NM620,SPECTRAL_NM630,SPECTRAL_NM640,SPECTRAL_NM650,SPECTRAL_NM660,SPECTRAL_NM670,SPECTRAL_NM680,SPECTRAL_NM690,SPECTRAL_NM700,SPECTRAL_NM710,SPECTRAL_NM720,SPECTRAL_NM730
10.29,-0.76,-7.38,0.0164,0.0173,0.0189,0.02,0.0201,0.0203,0.0199,0.0188,0.0179,0.0173,0.0164,0.0157,0.015,0.0144,0.0138,0.0132,0.0125,0.0118,0.0111,0.0104,0.0099,0.0094,0.0091,0.0088,0.0086,0.0085,0.0084,0.0083,0.0082,0.0079,0.0078,0.0078,0.0078,0.0082,0.0087,0.0091
9.78,3.37,-6.89,0.0176,0.018,0.0187,0.0194,0.0196,0.0195,0.0187,0.0175,0.0165,0.0157,0.0145,0.0134,0.0124,0.0116,0.011,0.0105,0.0102,0.01,0.0101,0.0105,0.011,0.0113,0.0112,0.011,0.0108,0.0106,0.0104,0.0102,0.0099,0.0095,0.0094,0.0095,0.0095,0.0095,0.0095,0.0093
11.36,-5.13,6.26,0.014,0.0134,0.0117,0.0102,0.0088,0.0078,0.0073,0.0072,0.0076,0.0085,0.0102,0.0126,0.0143,0.0149,0.0149,0.0146,0.0142,0.0138,0.0133,0.013,0.0127,0.0124,0.012,0.0117,0.0114,0.0112,0.011,0.0108,0.0105,0.0101,0.01,0.01,0.0101,0.0101,0.0101,0.01
18.34,0.11,-9.4,0.0403,0.042,0.0447,0.0467,0.047,0.0466,0.0443,0.0413,0.039,0.0369,0.035,0.0335,0.0321,0.0307,0.0295,0.0283,0.0272,0.0261,0.025,0.0241,0.0233,0.0225,0.0216,0.0209,0.0202,0.0196,0.0191,0.0185,0.0178,0.017,0.0166,0.0165,0.0165,0.0164,0.016,0.0156
56.83,-18.58,-39.91,0.1223,0.1511,0.225,0.3207,0.436,0.5201,0.5845,0.6018,0.6088,0.6062,0.5879,0.5627,0.529,0.4841,0.4269,0.3606,0.2934,0.23,0.1752,0.1373,0.1132,0.0979,0.0861,0.0775,0.073,0.0703,0.0693,0.0705,0.0725,0.0717,0.068,0.0629,0.0574,0.0543,0.0573,0.0682
56.07,43.13,-19.79,0.1342,0.1636,0.2378,0.3346,0.4372,0.4745,0.453,0.411,0.3697,0.325,0.2768,0.2323,0.1971,0.1704,0.1525,0.1417,0.1362,0.1363,0.1468,0.183,0.2555,0.3511,0.432,0.4783,0.4953,0.4952,0.4885,0.4791,0.4687,0.4578,0.4475,0.4363,0.4253,0.4142,0.4016,0.3906
78.24,-18.39,67.94,0.1078,0.117,0.1198,0.1133,0.0959,0.0829,0.0733,0.0698,0.0728,0.0852,0.117,0.1928,0.3181,0.4615,0.5623,0.6046,0.6129,0.6062,0.5956,0.588,0.5777,0.5672,0.5548,0.541,0.5266,0.5121,0.4991,0.4868,0.4748,0.463,0.4519,0.4402,0.4288,0.4174,0.4047,0.3935
40.45,-1.0,-13.97,0.1035,0.1193,0.1507,0.1778,0.1934,0.195,0.1873,0.1765,0.1685,0.1616,0.1541,0.1478,0.142,0.1365,0.1315,0.1263,0.1214,0.1164,0.1116,0.1077,0.1037,0.0999,0.096,0.0923,0.089,0.0859,0.0833,0.0805,0.0773,0.0737,0.0713,0.0704,0.0697,0.0687,0.0675,0.0668
23.56,21.23,-42.61,0.0672,0.0809,0.1162,0.1525,0.1849,0.2104,0.219,0.2004,0.1731,0.1427,0.1127,0.0871,0.0685,0.0552,0.0462,0.0402,0.0357,0.0321,0.0295,0.0287,0.0285,0.0275,0.0254,0.0234,0.0223,0.0217,0.0214,0.0218,0.0224,0.0221,0.0209,0.0195,0.0181,0.018,0.0199,0.0248
35.49,-52.05,26.55,0.0436,0.0427,0.0362,0.0297,0.0236,0.0197,0.0172,0.0164,0.0175,0.0217,0.0336,0.0674,0.1328,0.1981,0.2087,0.1747,0.1308,0.0921,0.0632,0.0458,0.0362,0.0307,0.0267,0.0241,0.0227,0.022,0.0217,0.0221,0.0227,0.0224,0.0212,0.0197,0.0184,0.0184,0.0204,0.0252
15.53,-2.1,-14.49,0.0304,0.0334,0.0391,0.043,0.0449,0.0456,0.045,0.0425,0.0403,0.0383,0.0359,0.0338,0.0319,0.0298,0.0278,0.0255,0.0229,0.0203,0.0176,0.0154,0.0137,0.0126,0.0118,0.0112,0.0109,0.0107,0.0105,0.0105,0.0104,0.0101,0.0098,0.0096,0.0096,0.0099,0.011,0.0128
48.24,-13.21,-45.68,0.1056,0.1305,0.1944,0.2676,0.3476,0.4174,0.4908,0.518,0.5279,0.5241,0.5018,0.4694,0.4275,0.3745,0.3124,0.2476,0.1889,0.139,0.0997,0.0746,0.0598,0.0509,0.0443,0.0397,0.0373,0.036,0.0355,0.0361,0.0372,0.0366,0.0346,0.032,0.0294,0.0287,0.031,0.0378
40.06,39.35,41.25,0.0502,0.0472,0.0377,0.0298,0.0232,0.019,0.0163,0.0155,0.0162,0.0193,0.0265,0.0395,0.0498,0.0509,0.0474,0.0443,0.0426,0.0431,0.0484,0.0677,0.116,0.1954,0.2769,0.333,0.36,0.3674,0.3661,0.3611,0.3547,0.3479,0.3415,0.3345,0.3274,0.32,0.3112,0.3032
